# -*- tab-width: 12 -*-
FT2105
FT2106
FT2108
FT2109	CID+20277
FT2110
FT2111
FT2112	CID+19236
FT2113
FT2114
FT2115
FT2116
FT2117
FT2119
FT2120
FT2121	CID+20094
FT2122
FT2124	CID+20098
FT2125S
FT2126S
FT2127
FT2128
FT2129
FT2130
FT2131
FT2132
FT2133
FT2134
FT2135
FT2136
FT2137
FT2138	CID+20106
FT2139	CID+20105
FT2140
FT2141
FT2142
FT2143
FT2144
FT2145
FT2146
FT2148
FT2149
FT2150
FT2152
FT2153
FT2155
FT2157
FT2158
FT2159
FT2160
FT2161
FT2162
FT2163
FT2164
FT2165
FT2166S	CID+20113
FT2167
FT2168
FT2169
FT2170
FT2171
FT2173
FT2174
FT2175
FT2176
FT2177
FT2178
FT2179
FT2180
FT2181
FT2182
FT2184
FT2185
FT2187
FT2188
FT2189
FT2190
FT2191
FT2192
FT2193
FT2201
FT2202
FT2203
FT2204	CID+14130
FT2205
FT2206
FT2207S
FT2208
FT2209
FT2210
FT2212
FT2213
FT2214
FT2215S	CID+20125
FT2216
FT2217
FT2218S
FT2219S
FT2220
FT2221
FT2222
FT2223
FT2224
FT2226S
FT2227S	CID+20137
FT2229	CID+20138
FT2230S
FT2231
FT2232S
FT2233
FT2236
FT2237
FT2238
FT2239
FT2240
FT2241
FT2243
FT2244
FT2245
FT2246
FT2247
FT2248
FT2249S	CID+20147
FT2250	CID+14144
FT2251
FT2252
FT2253
FT2254
FT2255
FT2256	CID+20149
FT2257
FT2258
FT2259
FT2260S
FT2261
FT2262
FT2263
FT2266
FT2267
FT2268
FT2269
FT2270
FT2271
FT2272S
FT2273S
FT2274S
FT2275S
FT2276
FT2277
FT2278
FT2279
FT2280
FT2281
FT2282
FT2283	CID+20160
FT2284
FT2285
FT2286
FT2287
FT2288
FT2289
FT2290
FT2291	CID+19500
FT2293
FT2294
FT2301
FT2302S
FT2304
FT2305
FT2306S
FT2307
FT2308
FT2310
FT2311	CID+20167
FT2312	CID+20168
FT2313
FT2314
FT2315
FT2316S
FT2317S
FT2318
FT2319	CID+7838
FT2320
FT2321
FT2322
FT2323
FT2324
FT2325
FT2326
FT2327	CID+20278
FT2328	CID+14158
FT2329
FT2330
FT2331
FT2332
FT2333
FT2334
FT2335
FT2336
FT2337
FT2338	CID+20283
FT2339S
FT2340
FT2341
FT2342
FT2343
FT2344	CID+14163
FT2345S	CID+14164
FT2346
FT2347	CID+20179
FT2348
FT2349
FT2350
FT2351S
FT2352
FT2353	CID+20181
FT2354
FT2355
FT2356
FT2357
FT2358
FT2359
FT2360S
FT2361
FT2363
FT2364
FT2365	CID+14167
FT2366
FT2367
FT2368
FT2369
FT2370
FT2371
FT2372
FT2373
FT2374S
FT2375	CID+20183
FT2376
FT2377	CID+14171
FT2378
FT2379
FT2380
FT2381
FT2382
FT2383S
FT2384
FT2385
FT2386S
FT2387S
FT2388
FT2389
FT2390
FT2391
FT2392S
FT2393
FT2394
FT2401
FT2402
FT2403
FT2404
FT2406	CID+20187
FT2407
FT2408
FT2409
FT2411
FT2412
FT2416	CID+14179
FT2417S
FT2418
FT2419
FT2420
FT2421
FT2422S
FT2423
FT2424
FT2425	CID+14181
FT2426
FT2427	CID+14183
FT2428
FT2429
FT2430
FT2431S
FT2433
FT2434
FT2435	CID+14191
FT2436	CID+14192
FT2437
FT2438
FT2439S*	CID+20192
FT2439SS
FT2440
FT2441	CID+14193
FT2442
FT2443
FT2444	CID+20193
FT2445S
FT2446
FT2447
FT2448
FT2449
FT2450S
FT2451
FT2452
FT2453
FT2454	CID+20195
FT2455	CID+20275
FT2456
FT2457
FT2458
FT2459
FT2460
FT2461
FT2462
FT2463
FT2464
FT2465	CID+20200
FT2466
FT2467
FT2468
FT2469
FT2470
FT2471
FT2472
FT2473
FT2474
FT2475
FT2476
FT2477
FT2478
FT2479
FT2480S
FT2481
FT2482	CID+14203
FT2483
FT2484
FT2485
FT2486
FT2487	CID+20206
FT2488
FT2489
FT2490
FT2491
FT2493S
FT2494
FT2501
FT2502
FT2503	CID+14208
FT2504
FT2505
FT2507
FT2508
FT2509
FT2510
FT2511
FT2512
FT2513
FT2514
FT2515
FT2516	CID+14210
FT2517	CID+14211
FT2518
FT2519
FT2520
FT2521
FT2522
FT2523
FT2524
FT2525
FT2526
FT2527
FT2528
FT2529S
FT2530
FT2532
FT2533
FT2535
FT2536S
FT2537
FT2538
FT2539
FT2540
FT2542
FT2543
FT2544
FT2545
FT2547
FT2548
FT2550
FT2551
FT2552S
FT2553
FT2554
FT2555
FT2557
FT2558
FT2559
FT2560S
FT2561S
FT2562
FT2563
FT2564
FT2565S	CID+14223
FT2566
FT2567
FT2568
FT2569
FT2570
FT2571
FT2572
FT2580
FT2581
FT2582
FT2583
FT2584
FT2585
FT2586
FT2587
FT2589	CID+14228
FT2590
FT2591
FT2592
FT2593	CID+14229
FT2594
FT2601
FT2602
