T1-463F qióu (囚)
T1-4640 uài (外)
T1-4641 iāng (央)
T1-4642 shī (失)
T1-4643 nú (奴)
T1-4644 nǎi (奶)
T1-4645 yùn (孕)
T1-4646 tā,tuō,tuó (它)
T1-4647 ní (尼)
T1-4648 jǜ (巨)
T1-4649 qiǎo (巧)
T1-464A zuǒ (左)
T1-464B shì (市)
T1-464C bù (布)
T1-464D píng,pián (平)
T1-464E iòu (幼)
T1-464F biàn,pán (弁)
T1-4650 hóng (弘)
T1-4651 fú (弗)
T1-4652 bì (必)
T1-4653 ù (戊)
T1-4654 dǎ,dá (打)
T1-4655 rēng,rěng,réng,rèng (扔)
T1-4656 bā,pá,bié (扒)
T1-4657 pū (扑)
T1-4658 chì (斥)
T1-4659 dàn (旦)
T1-465A zhú (朮)
T1-465B běn (本)
T1-465C uèi (未)
T1-465D mò (末)
T1-465E zhá (札)
T1-465F zhèng,zhēng (正)
T1-4660 mǔ (母)
T1-4661 mín (民)
T1-4662 dī,dǐ (氐)
T1-4663 yǒng (永)
T1-4664 zhī (汁)
T1-4665 tīng (汀)
T1-4666 fàn,fán (氾)
T1-4667 fàn (犯)
T1-4668 xüán (玄)
T1-4669 ǜ (玉)
T1-466A guā (瓜)
T1-466B uǎ,uà (瓦)
T1-466C gān (甘)
T1-466D shēng (生)
T1-466E yòng (用)
T1-466F shuǎi (甩)
T1-4670 tián (田)
T1-4671 ióu (由)
T1-4672 jiǎ,jià (甲)
T1-4673 shēn (申)
T1-4674 pǐ,iǎ,shū,pī,zhēng,zhèng,iā (疋)
T1-4675 bái,bó (白)
T1-4676 pí (皮)
T1-4677 mǐn,mǐng (皿)
T1-4678 mù (目)
T1-4679 máo (矛)
T1-467A shǐ (矢)
T1-467B shí,dàn (石)
T1-467C qí,shì (示)
T1-467D hé (禾)
T1-467E xüè,xüé (穴)
T1-4721 lì (立)
T1-4722 chéng (丞)
T1-4723 diōu (丟)
T1-4724 pīng (乒)
T1-4725 pāng (乓)
T1-4726 jī (乩)
T1-4727 gèn,gèng (亙)
T1-4728 jiāo (交)
T1-4729 ì (亦)
T1-472A hài (亥)
T1-472B fǎng (仿)
T1-472C kàng (伉)
T1-472D huǒ (伙)
T1-472E ī (伊)
T1-472F fū (伕)
