T1-4663 INE (永)
T1-4664 EJ (汁)
T1-4665 EMN (汀)
T1-4666 ESU (氾)
T1-4667 KHSU (犯)
T1-4668 YVI (玄)
T1-4669 MGI (玉)
T1-466A HIO (瓜)
T1-466B MLMN (瓦)
T1-466C TM (甘)
T1-466D HQM (生)
T1-466E BQ (用)
T1-466F BQU (甩)
T1-4670 W (田)
T1-4671 LW (由)
T1-4672 WL (甲)
T1-4673 LWL (申)
T1-4674 NYO (疋)
T1-4675 HA (白)
T1-4676 DHE (皮)
T1-4677 BT (皿)
T1-4678 BU (目)
T1-4679 NINH (矛)
T1-467A OK (矢)
T1-467B MR (石)
T1-467C MMF (示)
T1-467D HD (禾)
T1-467E JC (穴)
T1-4721 YT (立)
T1-4722 NEM (丞)
T1-4723 MGI (丟)
T1-4724 HMH (乒)
T1-4725 HMI (乓)
T1-4726 YRU (乩)
T1-4727 MBM (亙)
T1-4728 YCK (交)
T1-4729 YLNC (亦)
T1-472A YVHO (亥)
T1-472B OYHS (仿)
T1-472C OYHN (伉)
T1-472D OF (伙)
T1-472E OSK (伊)
T1-472F OQO (伕)
T1-4730 OMDM (伍)
T1-4731 OI (伐)
T1-4732 OD (休)
T1-4733 OIK (伏)
T1-4734 OL (仲)
T1-4735 OHQ (件)
T1-4736 OMG (任)
T1-4737 OHUL (仰)
T1-4738 OPP (仳)
T1-4739 OCSH (份)
T1-473A OYLM (企)
T1-473B ONHE (伋)
T1-473C FMU (光)
T1-473D UKHU (兇)
T1-473E HYUO (兆)
T1-473F HGHU (先)
T1-4740 OMG (全)
T1-4741 TC (共)
T1-4742 MGB (再)
T1-4743 YE (冰)
T1-4744 MNLN (列)
T1-4745 MTLN (刑)
T1-4746 ILN (划)
T1-4747 PHLN (刎)
T1-4748 BLN (刖)
T1-4749 FHKS (劣)
T1-474A PUK (匈)
T1-474B SMG (匡)
T1-474C SHML (匠)
T1-474D HPSL (印)
T1-474E NMSU (危)
T1-474F GR (吉)
T1-4750 JLK (吏)
T1-4751 BMR (同)
T1-4752 RLB (吊)
T1-4753 RG (吐)
T1-4754 RMD (吁)
T1-4755 RDI (吋)
T1-4756 HER (各)
T1-4757 HBR (向)
T1-4758 NIR (名)
T1-4759 OMR (合)
T1-475A RON (吃)
T1-475B HMR (后)
T1-475C RVI (吆)
T1-475D RHP (吒)
T1-475E WK (因)
T1-475F WR (回)
T1-4760 WND (囝)
T1-4761 GLLL (圳)
T1-4762 GPD (地)
T1-4763 KLG (在)
T1-4764 GG (圭)
T1-4765 GMMS (圬)
T1-4766 GRU (圯)
T1-4767 GMD (圩)
T1-4768 HNMNI (夙)
T1-4769 NINI (多)
T1-476A KN (夷)
T1-476B KMMS (夸)
T1-476C YVV (妄)
T1-476D VMJ (奸)
T1-476E VSU (妃)
T1-476F VND (好)
T1-4770 VPD (她)
T1-4771 VR (如)
T1-4772 VPI (妁)
T1-4773 JND (字)
T1-4774 KLND (存)
T1-4775 JMD (宇)
T1-4776 JDI (守)
T1-4777 JHP (宅)
T1-4778 JV (安)
T1-4779 GDI (寺)
T1-477A FK (尖)
T1-477B UON (屹)
T1-477C ILIL (州)
T1-477D LBHNI (帆)
T1-477E TT (并)
T1-4821 OQ (年)
T1-4822 IPM (式)
T1-4823 NPD (弛)
T1-4824 PYV (忙)
T1-4825 PDI (忖)
T1-4826 IJ (戎)
T1-4827 IHM (戌)
T1-4828 IHI (戍)
T1-4829 IHS (成)
T1-482A QR (扣)
T1-482B QM (扛)
T1-482C QHP (托)
T1-482D ULOK (收)
T1-482E AJ (早)
T1-482F PA (旨)
T1-4830 PA (旬)
T1-4831 KNA (旭)
T1-4832 TW (曲)
T1-4833 LWP (曳)
T1-4834 KB (有)
T1-4835 DMVS (朽)
T1-4836 DY (朴)
T1-4837 HJD (朱)
T1-4838 HND (朵)
T1-4839 MMNO (次)
T1-483A YMP (此)
T1-483B MNP (死)
T1-483C ONNHS (氖)
T1-483D EV (汝)
T1-483E EMJ (汗)
T1-483F EMD (汙)
T1-4840 EM (江)
T1-4841 EPD (池)
T1-4842 ENI (汐)
T1-4843 EU (汕)
T1-4844 EMMS (污)
T1-4845 ENJ (汛)
T1-4846 EKNI (汍)
T1-4847 EHNI (汎)
T1-4848 KF (灰)
T1-4849 IHQ (牟)
T1-484A HQP (牝)
T1-484B MA (百)
T1-484C H (竹)
T1-484D FD (米)
T1-484E VIF (糸)
T1-484F OJU (缶)
T1-4850 TQ (羊)
T1-4851 SYSY (羽)
T1-4852 JKP (老)
T1-4853 JKMVS (考)
T1-4854 MBLL (而)
T1-4855 QD (耒)
T1-4856 SJ (耳)
T1-4857 LQ (聿)
T1-4858 OBO (肉)
T1-4859 BKS (肋)
T1-485A BHN (肌)
T1-485B SLSL (臣)
T1-485C HBU (自)
T1-485D MIG (至)
T1-485E HX (臼)
T1-485F MJR (舌)
T1-4860 NIQ (舛)
T1-4861 HBYI (舟)
T1-4862 AV (艮)
T1-4863 NAU (色)
T1-4864 TK (艾)
T1-4865 LMI (虫)
T1-4866 HBT (血)
T1-4867 HOMMN (行)
T1-4868 YHV (衣)
T1-4869 MCW (西)
T1-486A NLHJ (阡)
T1-486B LL (串)
T1-486C YRNN (亨)
T1-486D OYT (位)
T1-486E OYG (住)
T1-486F OJMN (佇)
T1-4870 OJP (佗)
T1-4871 OMMV (佞)
T1-4872 OFQ (伴)
T1-4873 OLLN (佛)
T1-4874 OMNR (何)
T1-4875 OJR (估)
T1-4876 OKM (佐)
T1-4877 OKR (佑)
T1-4878 OKSR (伽)
T1-4879 OSMR (伺)
T1-487A OLWL (伸)
T1-487B OW (佃)
T1-487C OYR (佔)
T1-487D OLMO (似)
T1-487E OAM (但)
T1-4921 OBQ (佣)
T1-4922 OOS (作)
T1-4923 ONF (你)
T1-4924 OHA (伯)
T1-4925 OHPM (低)
T1-4926 OONI,OOII,OOMI (伶)
T1-4927 OMD (余)
T1-4928 OPR (佝)
T1-4929 OKLB (佈)
T1-492A OHQO (佚)
T1-492B CRHU (兌)
T1-492C JRHU (克)
T1-492D NAHU (免)
T1-492E HMC (兵)
T1-492F YIR (冶)
T1-4930 YONI (冷)
T1-4931 RSLN (別)
T1-4932 FQLN (判)
T1-4933 HDLN (利)
T1-4934 BTLN (刪)
T1-4935 PULN (刨)
T1-4936 GIKS (劫)
T1-4937 BMKS (助)
T1-4938 VEKS (努)
T1-4939 PRKS (劬)
T1-493A SWL (匣)
T1-493B AISL (即)
T1-493C HLSLI (卵)
T1-493D YKR (吝)
T1-493E RYHN (吭)
T1-493F MKR (吞)
T1-4940 MMR (吾)
T1-4941 MFR (否)
T1-4942 RSO (呎)
T1-4943 RAU (吧)
T1-4944 RD (呆)
T1-4945 RMSU (呃)
T1-4946 RVNK (吳)
T1-4947 RHG (呈)
T1-4948 RHR (呂)
T1-4949 SKR (君)
T1-494A RCSH (吩)
T1-494B HGR (告)
T1-494C RNO (吹)
T1-494D RPHH (吻)
T1-494E RNHE (吸)
T1-494F RIHU (吮)
T1-4950 RFH (吵)
T1-4951 ROB (吶)
T1-4952 RIK (吠)
T1-4953 RNDU (吼)
T1-4954 RMVH (呀)
T1-4955 RJE (吱)
T1-4956 ONR (含)
T1-4957 ROMN (吟)
T1-4958 RHML (听)
T1-4959 HWKK (囪)
T1-495A WD (困)
T1-495B WPU (囤)
T1-495C WPHH (囫)
T1-495D GYHS (坊)
T1-495E GYHN (坑)
T1-495F GYLM (址)
T1-4960 GBY (坍)
