FT1938	U+07149	B524
FT1939	U+084EE	BA20
FT1940	U+06994	B361
FT1942	U+05154	ADBD
FT1943	U+05189	ADE0
FT1944	U+05195	ADE6
FT1946S	U+05539	AED8
FT1947	U+05533	AED4
FT1948	U+05632	AF0F
FT1949	U+056A5	AF29
FT1950	U+0580B	AF64
FT1951S	U+05ABE	AFF6
FT1952	U+21A1A	B01F
FT1953	U+05C5B	5C5B
FT1954	U+06097	B166
FT1955	U+06369	B1FC
FT1956	U+06406	B20F
FT1959	U+067A6	B2FA
FT1960	U+067FA	B308
FT1961	U+0689B	B329
FT1962	U+0688E	688E
FT1964	U+07228	B561
FT1964	U+07228	B562
FT1965	U+073CE	B59A
FT1966	U+07504	B5E7
FT1966	U+07504	B5E8
FT1966	U+07504	B5E9
FT1969	U+07693	B629
FT1970	U+0787C	B67E
FT1971	U+07A31	B746
FT1973	U+07B99	B7AE
FT1974	U+07C90	B7F3
FT1975	U+07CAE	B7F9
FT1976	U+07D9B	B824
FT1977	U+07DAE	B82F
FT1978	U+07D9F	B830
FT1979	U+07FD4	B893
FT1980	U+0822E	B90D
FT1981	U+0828D	B922
FT1982	U+082D2	B94B
FT1983	U+08323	B98D
FT1984	U+08375	B98B
FT1985	U+08517	BA22
FT1986	U+08782	BAE1
FT1987	U+087D2	BAE2
FT1988	U+0890A	BB16
FT1989	U+089AF	BB3E
FT1990	U+08ADE	BB75
FT1991	U+08DDA	BBEC
FT1991	U+08DDA	BBED
FT1992	U+08E09	BBF2
FT1993S	U+08F13	BC18
FT1994	U+08FEA	BC5F
FT2001S	U+08FE9	BC64
FT2002	U+09058	BCEC
FT2003	U+06248	BD89
FT2004	U+091C1	BDB7
FT2004	U+091C1	BDB8
FT2005	U+09724	BEA8
FT2006	U+09760	BEBF
FT2006	U+09760	BEC0
FT2008	U+09824	BEF2
FT2009S	U+09B2E	C003
FT2010	U+09B97	C00C
FT2011S	U+09BF2	C023
FT2012	U+09EAA	C06E
FT2013S	U+09F9C	C0AD
FT2015	U+07E01	B83E
FT2016	U+05AC1	AFF4
FT2017	U+05BB6	B01E
FT2018	U+07A3C	B74D
FT2020	U+05EFB	5EFB
FT2020	U+05EFB	B0FB
FT2021	U+05916	AE74
FT2023	U+091DC	91DC
FT2023	U+091DC	B567
FT2026	U+09375	9375
FT2026	U+09375	BE0A
FT2027	U+04F7C	4F7C
FT2027	U+04F7C	AD5E
FT2028	U+06897	6897
FT2028	U+06897	B322
FT2029	U+058D5	AF98
FT2031	U+08C6A	BBB6
FT2032	U+053C9	53C9
FT2032	U+053C9	AE9A
FT2033	U+09BAB	9BAB
FT2033	U+09BAB	C010
FT2036	U+08C61	BBB1
FT2037	U+06756	6756
FT2037	U+06756	B2F3
FT2040	U+066FE	B2A9
FT2041	U+0968A	BE78
FT2042	U+05544	AEC8
FT2043	U+07422	B5A7
FT2044	U+0589C	AF88
FT2045	U+0585A	AF69
FT2046	U+0633A	633A
FT2046	U+0633A	B1EF
FT2047	U+06A61	B39F
FT2048	U+08C5A	B8D7
FT2050	U+0516B	ADC8
FT2052	U+065A7	65A7
FT2052	U+065A7	B565
FT2053	U+0626E	B1E0
FT2055	U+097AD	97AD
FT2055	U+097AD	BED1
FT2056	U+08499	BA04
FT2057	U+0723A	723A
FT2057	U+0723A	B569
FT2061	U+04E42	4E42
FT2061	U+04E42	AD20
FT2061	U+04E42	AD21
FT2063	U+08C6B	AD29
FT2064	U+04ED7	4ED7
FT2064	U+04ED7	AD46
FT2065	U+04EDE	AD44
FT2067	U+04FD8	AD67
FT2068	U+05029	AD70
FT2069	U+05050	AD85
FT2070	U+05048	AD77
FT2071	U+05056	AD78
FT2073	U+05085	AD89
FT2074	U+050CA	ADA2
FT2075	U+050DE	ADA3
FT2076	U+0513A	ADB5
FT2077	U+0513B	ADB6
FT2078	U+05151	5151
FT2079	U+0516A	ADC6
FT2080	U+0516E	ADCA
FT2081S	U+051A2	ADEE
FT2082	U+05204	5204
FT2082	U+05204	AE11
FT2083	U+0524F	524F
FT2083	U+0524F	AE1D
FT2084	U+0526A	AE23
FT2086	U+05294	5294
FT2086	U+05294	AE2A
FT2087	U+05292	AE2B
FT2088	U+05271	5271
FT2088	U+05271	AE21
FT2089	U+052B5	AE36
FT2090S	U+052E6	AE49
FT2091	U+098ED	AE47
FT2092	U+052E0	AE4A
FT2093	U+052F3	AE50
