# 「法律語彙初稿」 新造漢字一覧

# 本データは、当該書籍に記された新造漢字について、その語彙番号とIDS、そ
# して関連する法律語彙（仏語）をデータ化したものである。

番号	IDS	関連語彙
s026	⿰口紗	surenchere
t002	⿰口潭	tenant
t006	⿰口籀	tierce-opposition
t006	⿰口𪉸
t007	⿰口棁	tiers
u001	⿱耶	ultra-petita
u001	𡀥	ultra-petita
u002s	⿱鴉	unilateral
u003s	⿱需	union
u005	⿱越	usance
v001	⿰口挽	vacants
v004	⿰口汾	vaine pature
v004	𠽾
v006s	⿱薠	ventilation
v007	⿰口繁	vérification
v008	⿰口肥	viabilite
