FT1863	U+069CC	[U+069CC U+E0103]
FT1864	U+0939A	[U+0939A U+E0103]
FT1867	U+08FBB	[U+08FBB U+E0103]
FT1868	U+0912D	[U+0912D U+E0103]
FT1869	U+064E2	[U+064E2 U+E0103]
FT1873	U+05835	[U+05835 U+E0103]
FT1874	U+05C60	[U+05C60 U+E0103]
FT1875	U+083DF	[U+083DF U+E010A]
FT1876	U+08CED	[U+08CED U+E0103]
FT1877S	U+05858	[U+05858 U+E0103]
FT1879	U+09D07	[U+09D07 U+E0103]
FT1881	U+0701E	[U+0701E U+E0103]
FT1882	U+05678	[U+05678 U+E0103]
FT1884	U+09813	[U+09813 U+E0103]
FT1885	U+090A3	[U+090A3 U+E0103]
FT1886	U+08B0E	[U+08B0E U+E0103]
FT1887	U+07058	[U+07058 U+E0103]
FT1890	U+079B0	[U+079B0 U+E0103]
FT1892	U+0724C	[U+0724C U+E0103]
FT1893	U+09019	[U+09019 U+E0103]
FT1894	U+079E4	[U+079E4 U+E0103]
FT1902	U+07BB8	[U+07BB8 U+E0103]
FT1905	U+0633D	[U+0633D U+E0103]
FT1906	U+06249	[U+06249 U+E0104]
FT1907	U+06A0B	[U+06A0B U+E0103]
FT1908	U+067CA	[U+067CA U+E0103]
FT1909	U+07A17	[U+07A17 U+E0103]
FT1911S	U+05A9B	[U+05A9B U+E0103]
FT1913	U+05EDF	[U+05EDF U+E0103]
FT1914	U+07015	[U+07015 U+E0103]
FT1916	U+0853D	[U+0853D U+E0104]
FT1917	U+077A5	[U+077A5 U+E0103]
FT1918	U+05A29	[U+05A29 U+E0103]
FT1919	U+05E96	[U+05E96 U+E0103]
FT1920	U+06CE1	[U+06CE1 U+E0103]
FT1921	U+084EC	[U+084EC U+E0103]
FT1924	U+08FC4	[U+08FC4 U+E0103]
FT1926	U+05132	[U+05132 U+E0103]
FT1927	U+09905	[U+09905 U+E0103]
FT1929	U+09453	[U+09453 U+E0103]
FT1930	U+06108	[U+06108 U+E0103]
FT1931	U+07652	[U+07652 U+E0104]
FT1933	U+07194	[U+07194 U+E0103]
FT1934	U+08000	[U+08000 U+E0103]
FT1936	U+0907C	[U+0907C U+E0103]
FT1937	U+06F23	[U+06F23 U+E0103]
FT1938	U+07149	[U+07149 U+E0103]
FT1939	U+084EE	[U+084EE U+E0104]
