4EDB	0061040	琨
4EDC	0061041	瑻
4EDD	0061050	珉
4EDE	0061060	瑤瑶
4EDF	0061070	珠
4EE0	0061080	玓
4EE1	0061090	瓅
4EE2	0061100	玭
4EE3	0061101	蠙𧓍
4EE4	0061110	珕
4EE5	0061120	珧
4EE6	0061130	玟
4EE7	0061140	瑰
4EE8	0061150	璣
4EE9	0061160	𤨜𤦴琅
4EEA	0061170	玕
4EEB	0061171	𤥚
4EEC	0061180	珊
4EED	0061190	瑚
4EEE	0061200	𤥗珋
4EEF	0061210	琀
4EF0	0061220	𤪎𣤦𤩤
4EF1	0061230	璗
4EF2	0061240	𩆜𤫊
4EF3	0061241	靈霊
4EF4	@0207	珈
4EF5	@0208	璩
4EF6	@0209	琖
4EF7	@0210	𤧪𤨺琛
4EF8	@0211	璫珰
4EF9	@0212	琲
4EFA	@0213	珂
4EFB	@0214	玘
4EFC	@0215	珝
4EFD	@0216	璀
4EFE	@0217	璨
4EFF	@0218	琡
4F00	@0219	瑄
4F01	@0220	珙
4F02	0070010	玨
4F03	0070011	瑴
4F04	0070020	𤤻班
4F05	0070030	𨌥
4F06	0080010	气乞
4F07	0080020	氛
4F08	0080021	雰
4F09	0090010	士
4F0A	0090020	壻
4F0B	0090021	婿
4F0C	0090030	壯壮
4F0D	0090040	墫
4F0E	0100010	丨
4F0F	0100020	中
4F10	0100021	𠁧𠁦
4F11	010002A	𠁩
4F12	0100030	𣃘
4F13	0110010	屮
4F14	0110020	屯
4F15	0110030	𡴋𣫭每毎
4F16	0110040	𡴛𡹆毒
4F17	0110041	𥲮
4F18	0110050	㞣
4F19	0110051	𡴚芬
4F1A	0110060	𡴆
4F1B	0110061	𡴫
4F1C	0110070	𡽽𡼡熏
4F1D	0120010	艸艹
4F1E	0120020	莊
4F1F	0120021	𤖄
4F20	0120030	蓏
4F21	0120040	芝
4F22	0120050	𦱥萐
4F23	0120060	莆
4F24	0120070	虋
4F25	0120080	荅
4F26	0120090	萁
4F27	0120100	𧆑
4F28	0120110	莥
4F29	0120120	蓈
4F2A	0120121	稂
4F2B	0120130	莠
4F2C	0120140	萉
4F2D	0120141	𪎰黂
4F2E	0120150	芓
4F2F	0120160	䔬
4F30	0120170	蘇蘓
4F31	0120180	荏
4F32	0120190	䒨
4F33	0120200	䔇
4F34	0120210	𦮙𦷡葵
4F35	0120220	䕬
4F36	0120230	蓼
4F37	0120240	䔃
4F38	0120250	𦼫
4F39	0120260	薇
4F3A	0120261	𦵨
4F3B	0120270	蓶
4F3C	0120280	菦
4F3D	0120290	䖆
4F3E	0120300	莧
4F3F	0120310	芌芋
4F40	0120320	莒
4F41	0120330	蘧
4F42	0120340	菊
4F43	0120350	葷
4F44	0120360	蘘
4F45	0120370	菁
4F46	0120380	蘆芦
4F47	0120390	𦻉菔
4F48	0120400	𦭃苹
4F49	0120410	茞
4F4A	0120420	薲𦿜
4F4B	0120430	藍
4F4C	0120440	藼
4F4D	0120441	蕿
4F4E	0120442	萱
4F4F	0120450	𦵡
4F50	0120451	芎
4F51	0120460	𧅓藭
4F52	0120470	蘭
4F53	0120480	葌
4F54	0120490	葰
4F55	0120500	芄
4F56	0120510	虈䖀
4F57	0120520	蘺
4F58	0120530	茝
4F59	0120540	蘪
4F5A	0120550	薰薫
4F5B	0120560	𦺇
4F5C	0120570	萹
4F5D	0120580	𦯋茿
4F5E	0120590	藒
4F5F	0120600	芞䒗
4F60	0120610	苺
4F61	0120620	茖
4F62	0120630	苷
4F63	0120640	芧
4F64	0120650	𦾗藎
4F65	0120660	蒁𦳯
4F66	0120670	荵
4F67	0120680	萇
4F68	0120690	薊
4F69	0120700	荲
4F6A	0120710	藋
4F6B	0120720	芨
4F6C	0120730	𦷱葥
4F6D	@0313	𦺒
4F6E	0120740	蓩
4F6F	0120750	蓡
4F70	0120760	䖂
4F71	0120770	䓞
4F72	0120780	荍
4F73	0120790	𦶰𦳈
4F74	0120800	萭
4F75	0120810	𦯔
4F76	0120820	𧃎薛
4F77	0120830	苦
4F78	0120840	菩
4F79	0120850	𦺳
4F7A	0120860	茅
4F7B	0120870	菅
4F7C	0120880	蘄蕲
4F7D	0120890	莞
4F7E	0120900	藺
4F7F	0120910	蒢
4F80	0120920	蒲
4F81	0120930	蒻
4F82	0120940	𦸂
4F83	0120950	蓷
4F84	0124360	萑
4F85	0120960	茥
4F86	0120970	莙
4F87	0120980	𦺊
4F88	0120990	蒚
4F89	0121000	苢苡
4F8A	0121010	蕁
4F8B	0121011	𧂇𧂗𧀷
4F8C	0121020	𦿓𦼷
4F8D	0121030	蓲
4F8E	0121040	䓢
4F8F	0121050	𦾮
4F90	0121060	藷
4F91	0121070	蔗
4F92	0121080	𧂘𧃱
5007	0121090	藸
4F93	0121100	𧀩
4F94	0121110	𦬕
4F95	0121120	萯
4F96	0121130	芺
4F97	0121140	𦱁
4F98	0121150	𧅲
4F99	0121160	莩
4F9A	0121170	蔩
4F9B	0121180	荓
4F9C	0121190	蕕
4F9D	0121200	荌
4F9E	0121210	藄
4F9F	0121220	莃
4FA0	0121230	𦿏
4FA1	0121240	蕧
4FA2	0121250	苓
4FA3	0121260	𧆐
4FA4	0121270	藑
4FA5	0121280	䔰
4FA6	0121290	葍
4FA7	0121300	蓨
4FA8	0121310	苖
4FA9	0121320	𦳝
4FAA	0121330	薁
4FAB	0121340	葴
4FAC	0121350	𧀦
4FAD	0121351	蓾𦷕
4FAE	0121360	𦳋
4FAF	0121370	蔞
4FB0	0121380	藟
4FB1	0121390	蒬
4FB2	0121400	茈
4FB3	0121410	𧂀
4FB4	0121420	萴
4FB5	0121430	蒐
4FB6	0121440	𦴛茜
4FB7	0121450	𧀳蕼
4FB8	0121460	薜
4FB9	0121470	𦯌莣
4FBA	0121480	苞
4FBB	0121490	艾
4FBC	0121500	蔁
4FBD	0121510	芹
4FBE	0121520	薽
4FBF	0121530	蔦
4FC0	0121531	樢
4FC1	0121540	芸
4FC2	0121550	䔴
4FC3	0121560	葎
4FC4	0121570	茦
4FC5	0121580	𦯚䒷
4FC6	0121590	葑
4FC7	0121600	薺
4FC8	0121610	莿
4FC9	0121620	蕫
4FCA	0121630	蘻
4FCB	0121640	𦺋
4FCC	0121650	芐
4FCD	0121660	薟
4FCE	0121661	蘞
4FCF	0121670	菳
4FD0	0121680	芩
4FD1	0121690	藨
4FD2	0121700	𧅖
4FD3	0121710	蔆
4FD4	0121711	𧅊𧁽
4FD5	0121720	芰
4FD6	0121721	茤
4FD7	0121730	薢
4FD8	0121740	茩
4FD9	0121750	芡
4FDA	0121760	䕮
4FDB	0121761	𦶗
4FDC	0121770	蘥𦿈
4FDD	0121780	藗
4FDE	0121790	菘𦮺
4FDF	0121800	蒹
4FE0	0121810	薍
4FE1	0121820	𦵹
4FE2	0121821	菼
4FE3	0121830	薕
4FE4	0121840	薠
4FE5	0121850	䒢
4FE6	0121860	䓉
4FE7	0121870	芀
4FE8	0121880	𦱝𠞝茢
4FE9	0121890	䓿
4FEA	0121900	𧂄
4FEB	0121910	蓮
4FEC	0121920	茄
4FED	0121930	荷
4FEE	0121940	蔤
4FEF	0121950	蕅
4FF0	0121960	蘢
4FF1	0121970	蓍
4FF2	0121980	菣
4FF3	0121981	𦸃
4FF4	0121990	莪
4FF5	0122000	蘿
4FF6	0122010	菻
4FF7	0122020	蔚
4FF8	0122030	蕭䔥
4FF9	0122040	𦵒萩
4FFA	0122050	芍
4FFB	0122060	𧁄𦺍
4FFC	0122070	蔿蒍
4FFD	0122080	䒞
4FFE	0122090	蘜
4FFF	0122100	蘠
5000	0122110	芪
5001	0122120	菀
5002	0122130	莔𦮄
5003	0122140	𦬸
5004	0122150	蓂
5005	0122160	菋
5006	0122170	荎
5008	0122180	葛
5009	0122190	蔓
500A	0122200	䔌
500B	0122210	莕
500C		荇
500D	0122220	菨
500E	0122230	𧃣
500F	0122240	芫
5010	0122250	蘦
5011	0122260	蕛
5012	0122270	苵
5013	0122280	艼
5014	0122290	蔣蒋
5015	0122300	苽
5016	0122310	𦱀
5017	0122320	藣
5018	0122330	䕼	# dup.
5019	0122340	莨
501A	0122350	葽
501B	0122360	薖
501C	0122370	菌
501D	0122380	𧅸蕈
501E	0122390	䓴
501F	0122400	葚
5020	0122410	蒟
5021	0122420	芘
5022	0122430	𧂌蕣
5023	0122450	萸茰
5024	0122440	茱
5025	0122460	茮
5026	0122470	莍
5027	0122480	荊荆
5028	0122481	𦮓
5029	0122490	菭
502A	0122500	芽
502B	0122510	𦹩萌
502C	0122520	茁
502D	0122530	莖茎
502E	0122540	莛
502F	0122550	葉𦹁𦯧
5030	0122560	𦺶
5031	0122570	芣
5032	0122580	葩
5033	0122590	芛
5034	0122600	蘳
5035	0122610	𧄖蔈
5036	0122620	英
5037	0122630	薾
5038	0122640	萋
5039	0122650	菶
503A	0122660	薿
503B	0122670	蕤
503C	0122680	葼
503D	0122690	䔟
503E	0122700	蒝
503F	0122710	莢荚
5040	0122720	𦬆芒
5041	0122730	䔺
5042	0122740	蔕蒂
5043	0122750	荄
5044	0122760	荺
5045	0122770	茇
5046	0122780	芃
5047	0122790	𦺉
5048	0122800	蓻
5049	0122810	䓄
504A	0122820	茂
504B	0122830	𧀄
504C	0122840	蔭
504D	0122850	䔏
504E	0122860	茲兹
504F	0122870	𦵦
5050	0122880	藃
5051	0122890	蔇
5052	0122900	薋
5053	0122910	蓁
5054	0122920	莦
5055	0122930	芮
5056	0122940	茬
5057	0122950	薈荟
5058	0122960	䓮
5059	0122970	芼
505A	0122980	蒼
505B	0122990	葻
505C	0123000	萃
505D	0123010	蒔
505E	0123020	苗
505F	0123030	苛
5060	0123040	蕪
5061	0123050	薉
5062	0123060	𦮋荒
5063	0123070	𦺝
5064	0123080	𦱊
5065	0123090	落
5066	0123100	蔽
5067	0123110	蘀
5068	0123120	薀蕰
5069	0123130	蔫
506A	0123140	菸
506B	0123150	𦾵
506C	0123160	蔡
506D	0123170	茷
506E	0123180	菜
506F	0123190	荋
5070	0123200	𦭢䒦
5071	0123210	薄
5072	0123220	苑
5073	0123230	藪
5074	0123240	葘
5075	0123241	甾
5076	0123250	𧄎
5077	0123260	薙
5078	0123270	䒹
5079	@0569	𦳙
507A	0123290	蔪
507B	0123291	𧀵
507C	0123300	茀
507D	0123310	苾
507E	0123320	蔎
507F	0123330	芳
5080	0123340	蕡
5081	0123350	藥薬
5082	0123360	䕻
5083	0123370	蓆
5084	0123380	芟
5085	0123390	荐
5086	0123400	藉
5087	0123410	蒩
5088	0123420	蕝
5089	0123430	茨
508A	0123440	葺
508B	0123450	葢蓋盖
508C	0123460	苫
508D	0123470	䔽
508E	0123480	䓛
508F	0123490	藩
5090	0123500	菹
5091	0123501	𧗎	# dup
5092	0123502	𧂚
5093	0123510	荃
5094	0123520	䔯𨡱
5095	@0594	𦾐
5096	0123540	䓜
5097	0123541	𥁼
5098	0123550	𧃬䕩
5099	0123551	𧃉𧀪
509A	0123560	𧆈𧅙
509B	0123570	䔂
509C	0123580	若
509D	0123590	蓴
509E	0123600	𦭮
